Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,13,332,1387,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,14,126,354,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,15,44,-165,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,16,63,56,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,17,54,-164,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,18,228,351,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,19,277,932,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,ExpectimaxAgent,20,92,118,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,1,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,2,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,3,7,532,1,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,4,7,532,1,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,5,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,6,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,7,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,8,7,532,1,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,9,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,10,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,11,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,12,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,13,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,14,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,15,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,16,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,17,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,18,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,19,1,-502,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MinimaxAgent,20,7,532,1,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,1,92,-423,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,2,78,-479,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,3,71,118,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,4,16,-437,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,5,176,-577,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,6,131,-532,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,7,110,-511,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,8,46,-407,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,9,212,-13,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,10,12,-483,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,11,276,-157,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,12,10,-441,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,13,37,212,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,14,127,-528,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,15,147,-548,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,16,80,-481,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,17,125,-526,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,18,18,-478,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,19,36,-447,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MinimaxAgent,20,36,-457,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,1,306,1194,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,2,34,-215,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,3,48,-339,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,4,185,514,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,5,100,469,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,6,214,656,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,7,149,111,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,8,160,429,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,9,165,324,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,10,190,659,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,11,278,1091,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,12,134,325,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,13,152,37,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,14,107,282,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,15,114,195,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,16,155,414,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,17,143,316,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,18,174,275,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,19,115,74,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,DirectionalGhost,4,MinimaxAgent,20,386,1403,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,1,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,2,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,3,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,4,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,5,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,6,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,7,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,8,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,9,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,10,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,11,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,12,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,13,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,14,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,15,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,16,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,17,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,18,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,19,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
trappedClassic,DirectionalGhost,4,MonteCarloAgent -a enableRandomPolicy=0,20,1,-501,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,1,320,479,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,2,95,14,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,3,185,214,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,4,154,245,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,5,144,-145,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,6,176,423,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,7,22,-43,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,MonteCarloAgent -a enableRandomPolicy=0,8,147,2182,1,,,,,,,,,,,,,,,,,,,,,,,
