Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,16,61,218,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,17,14,-374,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,18,403,1556,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,19,11,-392,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,MinimaxAgent,20,59,140,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,1,3,516,1,,,312.05,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,2,2,-493,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,3,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,4,5,514,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,5,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,6,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,7,5,514,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,8,4,515,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,9,6,513,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,10,18,-508,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,11,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,12,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,13,4,-494,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,14,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
